Janeiro

19/07/2022 - R$ 5,422  -0.042%

20/07/2022 - R$ 5,461  0.706%

21/07/2022 - R$ 5,497  0.665%

22/07/2022 - R$ 5,498  0.013%

25/07/2022 - R$ 5,370  -2.328%

26/07/2022 - R$ 5,349  -0.382%

27/07/2022 - R$ 5,250  -1.851%

28/07/2022 - R$ 5,163  -1.655%

29/07/2022 - R$ 5,174  0.213%

Agosto

01/08/2022 - R$ 5,178  0.064%

02/08/2022 - R$ 5,279  1.962%

03/08/2022 - R$ 5,278  -0.023%

04/08/2022 - R$ 5,222  -1.063%

05/08/2022 - R$ 5,167  -1.053%

08/08/2022 - R$ 5,112  -1.057%

09/08/2022 - R$ 5,129  0.329%

10/08/2022 - R$ 5,085  -0.864%

11/08/2022 - R$ 5,157  1.424%

12/08/2022 - R$ 5,073  -1.642%

15/08/2022 - R$ 5,092  0.377%

16/08/2022 - R$ 5,140  0.951%

17/08/2022 - R$ 5,167  0.533%

18/08/2022 - R$ 5,172  0.081%

19/08/2022 - R$ 5,168  -0.079%

22/08/2022 - R$ 5,167  -0.01%

23/08/2022 - R$ 5,099  -1.316%

24/08/2022 - R$ 5,112  0.249%

25/08/2022 - R$ 5,112  0.006%

26/08/2022 - R$ 5,078  -0.673%

29/08/2022 - R$ 5,033  -0.88%

30/08/2022 - R$ 5,113  1.588%

31/08/2022 - R$ 5,201  1.723%

Setembro

01/09/2022 - R$ 5,238  0.709%

02/09/2022 - R$ 5,185  -1.012%

05/09/2022 - R$ 5,154  -0.604%

06/09/2022 - R$ 5,238  1.644%

07/09/2022 - R$ 5,238  0%

08/09/2022 - R$ 5,206  -0.62%

09/09/2022 - R$ 5,147  -1.126%

12/09/2022 - R$ 5,096  -0.985%

13/09/2022 - R$ 5,187  1.786%

14/09/2022 - R$ 5,157  -0.586%

15/09/2022 - R$ 5,239  1.59%

16/09/2022 - R$ 5,259  0.376%

19/09/2022 - R$ 5,165  -1.788%

20/09/2022 - R$ 5,152  -0.246%

21/09/2022 - R$ 5,171  0.377%

22/09/2022 - R$ 5,115  -1.096%

23/09/2022 - R$ 5,248  2.606%

26/09/2022 - R$ 5,380  2.523%

27/09/2022 - R$ 5,377  -0.072%

28/09/2022 - R$ 5,349  -0.517%

29/09/2022 - R$ 5,395  0.866%

30/09/2022 - R$ 5,394  -0.019%

Outubro

03/10/2022 - R$ 5,175  -4.067%

04/10/2022 - R$ 5,167  -0.139%

05/10/2022 - R$ 5,184  0.321%

06/10/2022 - R$ 5,209  0.49%

07/10/2022 - R$ 5,213  0.069%

10/10/2022 - R$ 5,190  -0.441%

11/10/2022 - R$ 5,272  1.572%

12/10/2022 - R$ 5,272  0%

13/10/2022 - R$ 5,272  0.008%

14/10/2022 - R$ 5,323  0.969%

17/10/2022 - R$ 5,303  -0.381%

18/10/2022 - R$ 5,253  -0.945%

19/10/2022 - R$ 5,275  0.419%

20/10/2022 - R$ 5,218  -1.084%

